SAMPLE_ID,MPO_Score,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC average,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00510350,5.7,-0.303890404,-0.133824867,-0.368479097,-0.024506774,-0.448066803,0.47716598,0.511882963,-0.402079765,0.471237804
NCGC00475727,5.7,0.429297174,0.378411926,0.865683777,0.447292937,0.443772237,0.638459168,-0.743294604,0.769173877,0.796839944
NCGC00390693,5.7,-1.630296127,-0.861186506,-2.050648326,-0.862893567,-0.985246925,0.259970844,-0.290688726,-1.339957349,-0.005095425
NCGC00522633,5.7,-2.090202894,-1.764627589,-1.947093496,-0.959526693,-0.682862816,0.156970474,0.755047043,-0.534742074,-1.568702192
NCGC00015598,5.7,0.104376517,0.030541903,-1.336467961,-0.636095255,0.187086666,-0.084525286,-3.663973243,-0.07371724,-0.252083398
NCGC00263135,5.7,-0.083580489,-0.366365393,-0.111079839,0.049072602,0.078778692,-0.0142263,0.531505744,0.344335968,0.01321243
NCGC00253646,5.6,0.536784042,0.647422391,0.075865484,0.645984683,0.424411422,0.588548362,0.901569811,1.022352589,0.970923362
NCGC00387089,5.6,0.373146808,0.797780374,0.895030129,0.526820115,0.545576134,0.521067747,0.072220715,0.460609666,0.54912935
NCGC00164613,5.6,0.63605841,1.032608554,1.091595338,0.992818264,0.950776178,1.238169949,0.923051958,1.093121351,0.977164372
NCGC00018218,5.6,1.105736359,0.939001816,0.849212509,0.864219587,0.884609177,0.695444393,0.196888824,1.098846764,1.144016851
NCGC00346932,5.6,1.311953713,0.885786925,0.339252601,0.786046258,0.504508297,0.981246603,0.676256921,1.027070273,0.562294729
NCGC00253737,5.6,-0.32217861,-2.823555346,-1.487187515,-0.43483257,-0.200613343,-0.249847847,0.706469614,-0.479260234,1.377512724
NCGC00390223,5.6,0.908933106,0.642834649,0.572357,0.703002608,0.406399743,1.029111251,0.050180158,0.993618856,1.020586103
NCGC00378390,5.6,0.655405033,0.426603759,1.25179984,0.892266462,0.625709734,0.922358114,0.970157497,1.487873842,0.798223874
NCGC00346502,5.6,-0.262757179,-0.556246614,-0.706308449,-0.184836999,0.026482979,-0.204409536,0.556122341,-0.286610695,-0.044968841
NCGC00687530,5.6,0.00914969,-0.102978118,-0.315534425,0.00843523,0.194522582,0.260000261,0.447493024,-0.573957298,0.148786125
NCGC00687448,5.6,1.229150853,0.929147444,0.793127712,1.02274326,1.283011627,0.948520108,0.930691699,1.059848151,1.008448485
NCGC00522513,5.6,-1.926059311,-1.506181395,-2.546524185,-1.437046057,-1.529198488,-0.860016345,-0.385660458,-1.791101882,-0.951626389
NCGC00386882,5.6,-0.201461543,-0.221707642,-0.404076909,-0.250211103,0.313175162,-0.721264791,0.277241201,0.162024402,-1.205618704
NCGC00843007,5.6,-0.605712877,-0.361939681,-0.880279624,-0.228403987,0.185546252,-0.391351878,0.513628005,-0.074901852,-0.212220237
NCGC00183862,5.6,1.186135432,1.169340886,0.22797775,1.09211535,0.958358001,1.212493829,1.259912195,1.165181719,1.557522989
NCGC00486892,5.6,0.816127116,0.644618022,1.310061085,0.92950842,0.738334872,1.124711896,0.961210975,1.206794631,0.634208767
NCGC00384197,5.5,-0.494947399,-0.259109576,-0.665011702,-0.202512442,-0.225121906,-0.199584802,0.455480899,-0.006853627,-0.224951425
NCGC00094872,5.5,-0.318072324,0.361618282,0.127478245,0.2583698,0.273850015,0.49287966,-0.075584419,0.659183556,0.545605388
NCGC00263909,5.5,1.266887736,0.985083165,0.887328267,0.830068073,0.536314197,0.987201376,0.489216779,0.744272924,0.744240142
NCGC00015754,5.5,1.273446237,0.776480117,0.047762201,0.868654765,1.181617643,1.002256387,0.460312263,1.196150339,1.011212929
NCGC00387306,5.5,0.211936338,-0.121941307,-0.150187925,0.261967433,0.153922636,0.367576446,1.08093745,0.61453493,-0.061039105
NCGC00016973,5.5,0.070258252,-0.411775838,-0.655408999,-0.100874815,-0.597373345,0.122921576,0.481755839,0.0552733,0.127350692
NCGC00262195,5.5,0.301613024,0.555735627,1.104581748,0.621147467,0.317793612,0.607836208,0.792811588,0.906471269,0.382336663
NCGC00510502,5.5,-0.529492991,-0.234726654,0.111703118,-0.316952594,-0.22349633,-0.577146797,-0.695261568,-0.047799825,-0.339399702
NCGC00344630,5.5,-3.447667085,-3.174647154,-2.853966253,-2.681762514,-3.784375701,-2.031190028,-1.799588688,-2.172842805,-2.189822396
NCGC00347952,5.5,-2.805173698,-2.615093916,-3.091343091,-2.475100441,-1.298696915,-2.320436507,-2.862887753,-1.014428641,-3.792743008
NCGC00016994,5.5,-1.376583517,-1.351604646,-0.915409615,-1.639168771,-1.259503405,-1.595141641,-1.973371426,-2.207768067,-2.433967851
NCGC00017363,5.5,-1.684482411,-1.76584954,-1.634450593,-1.295737548,-1.764840217,-0.766744008,-0.219264702,-1.250612302,-1.279656611
NCGC00092289,5.5,-1.272439727,-0.743023006,-1.03826952,-0.867088835,-0.697814063,-0.886051818,-0.882573036,-0.406829006,-1.0097105
NCGC00015680,5.5,-1.187233174,-0.676585541,-0.675678297,-0.556117091,-0.781106199,-0.346586795,-0.054154011,-0.521361229,-0.206231479
NCGC00186028,5.5,-0.427817456,-0.544894799,-0.924572306,-0.410858956,-0.786411375,-0.323772643,0.506949437,-0.756719298,-0.029633208
NCGC00091641,5.5,-0.33480912,-0.373779025,-0.399904605,-0.249446099,-0.176051748,-0.258739816,0.478880928,-0.019955245,-0.911210158
NCGC00601684,5.5,-0.738370313,-0.275641031,-1.038241844,-0.237999158,-0.471999594,0.235974439,0.885774557,0.061837415,-0.563326892
NCGC00185997,5.5,-0.3368886,-0.523919547,-0.474788694,-0.229479404,-0.375903415,-0.482711973,0.799924118,-0.036821868,-0.404725253
NCGC00510705,5.5,-0.291202039,-0.119073564,-0.450735278,-0.078566739,0.312245554,-0.138800302,0.340828895,0.044510873,-0.32630805
NCGC00510878,5.5,-0.158906678,0.021200169,0.175256277,0.040277263,0.114013981,-0.304960904,0.320863911,0.077079041,0.077672307
NCGC00387924,5.5,0.264037952,0.041264726,0.173703299,0.053483034,0.02370616,0.33525166,0.029677816,-0.14053097,-0.299246374
NCGC00263096,5.5,0.367850601,-0.001080723,0.470110871,0.102074919,0.587542416,0.310431447,0.728240947,-1.644483831,-0.002012374
NCGC00481108,5.5,-0.27229161,-0.119717156,0.159586073,0.181305675,0.080976967,0.115988723,0.919334108,0.629169915,-0.062601621
NCGC00091281,5.5,0.052108392,-0.266174405,-0.251074435,0.22419822,-0.246617861,0.472089998,1.418180201,0.323043454,0.292030413
NCGC00496843,5.5,0.620344834,0.223814378,0.200223745,0.243843964,0.12925009,-0.0141717,0.591949836,0.245540765,-0.046200239
NCGC00025195,5.5,0.077876777,0.007443194,0.112280531,0.250860939,-0.24712051,0.457419971,0.974583138,0.518253205,0.106151206
NCGC00346881,5.5,0.264658067,0.640171429,-0.960308595,0.289521347,0.318755684,0.529434499,0.361791663,0.841551205,0.320116823
NCGC00181000,5.5,0.142029776,0.484532746,0.356917967,0.445435629,0.204210923,0.479721009,0.315137754,0.892897747,0.68803711
NCGC00163492,5.5,0.647347474,0.53697163,0.549282782,0.465500047,0.444826716,0.570247847,-0.02512352,0.689957696,0.310489752
NCGC00025100,5.5,0.17358564,0.469446519,0.256618757,0.498156775,0.640345946,0.383062113,0.78208038,0.538520932,0.741593911
NCGC00183784,5.5,0.812999473,0.860637227,0.132566436,0.594926856,0.758891459,0.756717091,-0.11834716,0.926873046,0.629077274
NCGC00390801,5.5,0.469158166,0.704041161,1.245549609,0.600693189,0.413928196,0.460573233,0.968787211,0.185938243,0.35756969
NCGC00181170,5.5,1.019409254,0.79475976,0.734504543,0.638792285,0.885061218,0.509592907,0.357125659,0.420384225,0.389500714
NCGC00092384,5.5,0.81459455,0.555855704,0.74312983,0.639865325,0.591851507,0.58086282,0.171772774,0.744014235,0.916841182
NCGC00386721,5.5,0.880831511,0.576842852,0.328314543,0.64736045,0.616951228,0.471560954,0.837192785,0.583278468,0.883911261
NCGC00498439,5.5,0.836282646,0.939259578,0.944614886,0.6838208,0.975981188,0.409954179,0.094027778,0.466078197,0.80436795
NCGC00241114,5.5,0.458772534,0.978585926,0.927321498,0.683904752,0.654431928,0.691816218,0.380891634,0.476139916,0.903278362
NCGC00263218,5.5,0.858371998,0.959678231,0.816231413,0.751870985,0.463793347,0.847538626,0.729709292,0.835897547,0.503747425
NCGC00185774,5.5,1.239824112,0.476488963,0.708743596,0.766600328,1.059548874,0.627967569,0.201423891,0.976439074,0.842366547
NCGC00496840,5.5,0.903199021,0.719209555,0.947050139,0.815331147,0.922513966,0.936109681,0.288656077,1.122436218,0.683474521
NCGC00408796,5.5,1.218815531,1.458726882,1.381716897,0.829368035,1.525035956,0.892343403,-1.577578896,0.690894887,1.044989616
NCGC00689290,5.5,0.629398931,0.960161394,0.64212441,0.859148073,0.844301371,1.229037914,0.247511078,0.88872706,1.431922427
NCGC00689299,5.5,0.49679937,0.737535632,1.299580484,0.871221367,0.689430302,1.425695168,0.442145729,0.982103779,0.896480473
NCGC00689106,5.5,0.771177398,0.513971809,1.018967395,0.873939502,0.770238018,1.167218789,0.699424005,0.993511543,1.057007063
NCGC00181011,5.5,0.775474485,0.75206256,1.120054227,0.90153994,0.903855547,1.105108372,0.715720704,0.783568004,1.056475617
NCGC00015623,5.5,0.858464646,0.961944266,0.790540538,0.906205364,0.741772042,0.706385556,1.320468341,0.677616952,1.192450571
NCGC00015833,5.5,1.13678755,0.957022756,0.72736134,0.90775094,0.521528774,1.106463174,0.516059695,1.129335273,1.167448956
NCGC00015094,5.5,0.960085228,0.579044843,0.614648359,0.908625407,0.705120351,1.114474743,1.130050809,1.035256404,1.130322516
NCGC00263122,5.5,0.664886905,0.602055044,0.921840144,0.911965321,0.859605947,1.015216184,0.767967239,1.609063838,0.855087268
NCGC00167801,5.5,1.28944346,1.019238116,0.247758935,0.958436443,0.767838871,1.229094474,1.066067772,0.970811586,1.077238328
NCGC00274061,5.5,1.137622495,1.015397489,0.272203549,0.962209629,0.928319984,1.436271515,0.83288272,0.975395182,1.099584095
NCGC00229511,5.5,1.388315673,1.055822495,1.221210271,1.001222413,1.039363099,0.75447765,0.262657896,1.181525438,1.106406782
NCGC00485024,5.5,0.852071715,1.134121092,1.250235688,1.01497094,0.331490145,1.022000631,0.970703973,1.298584197,1.260560076
NCGC00522586,5.5,0.799098974,0.890758059,1.022467345,1.023547956,0.871692284,1.012843055,1.038885207,1.152780142,1.399858582
NCGC00016229,5.5,1.068588692,1.201557344,0.708962889,1.032810744,0.956138709,1.156524495,1.206411987,1.01462876,0.949673074
NCGC00253740,5.5,1.121646594,1.02311419,1.640344271,1.065988648,1.037883108,1.28019292,0.543006141,1.155930693,0.725791266
NCGC00346625,5.5,0.313776655,-0.161928453,0.518747221,0.302906695,0.124586874,0.29047488,0.982203985,0.490898941,-0.13550654
NCGC00015610,5.5,-0.446143679,-0.688020602,-0.033969124,-0.355653085,-0.576212437,-0.463432966,0.544480684,-0.70583166,-0.476094896
NCGC00017254,5.5,-1.495742034,-1.040862231,-1.149403789,-1.723953741,-1.812936687,-2.631272773,-2.102767932,-1.263188957,-2.295455522
NCGC00182059,5.5,0.380781153,-0.275181528,-0.07407848,0.061991569,-0.311397548,0.05092894,0.516370359,0.254292439,-0.045782784
NCGC00016643,5.5,0.653471273,1.117287662,1.047133204,1.028158525,1.032931763,1.082087383,1.024521909,1.206814579,1.061020428
NCGC00025072,5.5,1.082076676,1.04988776,0.201373055,0.809168741,1.160837065,0.756784379,0.193682314,1.012888863,1.015819815
NCGC00079434,5.5,0.632967657,0.682352371,0.670491398,0.422802779,0.719859315,-0.254238225,0.479875869,0.038116809,0.412997033
NCGC00856805,5.5,0.57599658,0.630068148,1.24107963,0.807062343,0.692454715,1.207309207,0.53741805,0.786011936,0.786160483
