SAMPLE,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00346701,-1.954217689,-2.861628683,-1.954614133,-0.823249049,-1.855582594,-0.869600767,-1.769049559,-1.561516153
NCGC00386370,-2.224520292,-1.843282522,-2.26078002,-1.982145434,-1.585394759,-0.693598646,-0.990999367,-1.924106884
NCGC00485895,-2.493709126,-1.900403242,-1.59367302,-1.140016602,-1.723005634,-1.018871079,-1.334156598,-2.03732718
NCGC00168772,-1.483822478,-1.599622542,-1.171941174,-2.151144537,-1.834022656,-1.535892613,-1.334976928,-2.120898821
NCGC00508985,-1.735624085,-1.583696011,-1.602851236,-1.288486389,-1.601994211,-1.743338123,-1.917277276,-1.730129438
NCGC00346940,-1.557523888,-2.007345789,-2.183533109,-3.19744872,-1.195128249,-0.491658756,-2.167613209,-0.352184344
NCGC00168784,-0.924271271,-1.092194506,-0.810590436,-1.281368084,-1.673116055,-2.041737641,-2.534678529,-2.765379984
NCGC00016994,-1.376583517,-1.351604646,-0.915409615,-1.259503405,-1.595141641,-1.973371426,-2.207768067,-2.433967851
NCGC00522487,-0.910824038,-0.425894388,-0.088969079,-0.741151948,-3.068587405,-3.00693149,-2.845226874,-1.83116903
NCGC00181336,-1.69898166,-1.661384618,-1.664166455,-1.417478051,-0.906107655,-2.352663513,-1.475071837,-1.641590507
NCGC00387248,-2.849348746,-1.967476622,-2.930110996,-2.235954819,-0.225867534,-0.214508715,-1.906356746,-0.243144382
NCGC00160391,-1.191206118,-0.879462911,-2.126453818,-1.501658891,-1.626762557,-1.666836247,-1.228171808,-2.349929746
NCGC00347278,-1.820700081,-1.630125672,-1.30817915,-1.639266238,-1.800972461,-1.32881898,-1.605320469,-1.341918963
NCGC00485487,-1.937712887,-1.407816816,-1.985715772,-0.078666443,-2.160515583,-1.995745505,-1.207843035,-1.665915012
NCGC00507864,-1.345354638,-1.541784684,-2.11592401,-1.856091414,-1.445920337,-0.931648698,-1.441265599,-1.674551219
NCGC00509886,-1.560313934,-1.292774983,-1.14152008,-1.766755599,-1.74719391,-1.089486148,-1.989298618,-1.626185111
NCGC00390739,-1.547074028,-1.572003568,-1.431754455,-0.514685744,-2.434671115,-1.807409207,-1.193522301,-1.696949484
NCGC00263166,-1.412842356,-1.653355736,-2.281809504,-1.934637914,-0.696293036,-0.809036996,-1.187863912,-1.686468701
NCGC00507889,-1.662194667,-1.764201144,-1.861797011,-1.863962189,-1.376598487,-0.464591414,-1.465646827,-1.195547014
NCGC00249389,-1.830223385,-1.802804408,-1.776662291,-2.383905132,-1.683138836,-0.216663215,-0.811447451,-1.034314467
NCGC00522513,-1.926059311,-1.506181395,-2.546524185,-1.529198488,-0.860016345,-0.385660458,-1.791101882,-0.951626389
NCGC00263119,-1.124590455,-1.64076747,-1.864000756,-1.446582059,-1.10469984,-0.952777574,-1.401004438,-1.915799693
NCGC00346493,-1.81739862,-1.973201857,-1.798553631,-1.684783703,-1.442736775,-1.020545388,-1.178699206,-0.431663028
NCGC00689270,-0.937941162,-0.431439526,0.100318668,-0.944066594,-2.758360365,-2.477842622,-2.043817192,-1.731842007
